60.000000,0.000000,40.000000|0.000000,0.000000,0.000000|0.750000,1.000000,0.500000
50.000000,0.000000,40.000000|0.000000,0.000000,0.000000|0.750000,1.000000,0.750000
70.000000,0.000000,40.000000|0.000000,0.000000,0.000000|1.500000,1.000000,1.000000
60.000000,0.000000,-50.000000|0.000000,0.000000,0.000000|1.000000,1.000000,0.750000
70.000000,0.000000,-50.000000|0.000000,0.000000,0.000000|1.250000,1.000000,0.750000
70.000000,0.000000,-50.000000|0.000000,0.000000,0.000000|1.750000,1.000000,0.750000
50.000000,0.000000,-40.000000|0.000000,0.000000,0.000000|2.000000,1.000000,0.750000
60.000000,0.000000,0.000000|0.000000,0.000000,0.000000|1.000000,1.000000,1.750000
60.000000,0.000000,0.000000|0.000000,0.000000,0.000000|1.500000,1.000000,1.500000
0.000000,0.000000,0.000000|0.000000,0.000000,0.000000|1.000000,1.000000,1.000000
0.000000,0.000000,0.000000|0.000000,0.000000,0.000000|1.000000,1.000000,1.000000
0.000000,0.000000,0.000000|0.000000,0.000000,0.000000|1.000000,1.000000,1.000000
0.000000,0.000000,0.000000|0.000000,0.000000,0.000000|1.000000,1.000000,1.000000
0.000000,0.000000,0.000000|0.000000,0.000000,0.000000|1.000000,1.000000,1.000000
0.000000,0.000000,0.000000|0.000000,0.000000,0.000000|1.000000,1.000000,1.000000
0.000000,0.000000,0.000000|0.000000,0.000000,0.000000|2.500000,1.000000,3.000000
